"Hersteller-Teilenummer","Digi-Key Teilenummer","Menge"
"TLV1117-33IDCYR","296-21113-1-ND","1"
"EMK325BJ476MM-P","587-5436-1-ND","1"
"CL32A226MOJNNNE","1276-1851-1-ND","1"
"885012207045","732-8045-1-ND","4"
"RNCP0805FTD10K0","RNCP0805FTD10K0CT-ND","5"
"CRG0805F620R","A126381CT-ND","1"
"NRVB120VLSFT1G","NRVB120VLSFT1GOSCT-ND","3"
"110-99-964-41-001000","ED3764-ND","1"
"RTC-72423A: ROHS","SER3241-ND","1"
"SN74ACT00DR","296-14690-1-ND","1"
"SN74AHCT86DR","296-4776-1-ND","1"
"CD74HCT688M96","296-24357-1-ND","1"
"74HCT86D,653","1727-6360-1-ND","1"